leaning rate,max training epochs,batch_size,h1,h2-RELU,h3-RELU,h4,Percentage for Test set
cost/10,1000,10,100,100,100,100,4.166666666666667
Test Set starts at:,True Positive,True Negative,False Positive,False Negative,Sensitivity-PosAcc,Specificity-NegAcc,Total Accuracy
Whole image Metrics for transfer: 1,6.0,3.0,0.0,2.0,0.75,1.0,0.8181818181818182
Whole image Metrics for transfer: 2,6.0,3.0,1.0,1.0,0.8571428571428571,0.75,0.8181818181818182
Whole image Metrics for transfer: 3,8.0,3.0,0.0,0.0,1.0,1.0,1.0
Whole image Metrics for transfer: 4,6.0,3.0,1.0,1.0,0.8571428571428571,0.75,0.8181818181818182
Whole image Metrics for transfer: 5,6.0,3.0,0.0,2.0,0.75,1.0,0.8181818181818182
Whole image Metrics for transfer: 6,7.0,3.0,1.0,0.0,1.0,0.75,0.9090909090909091
Whole image Metrics for transfer: 7,7.0,2.0,2.0,0.0,1.0,0.5,0.8181818181818182
Whole image Metrics for transfer: 8,7.0,4.0,0.0,0.0,1.0,1.0,1.0
Whole image Metrics for transfer: 9,2.0,0.0,7.0,1.0,0.6666666666666666,0.0,0.2
Whole image Metrics for transfer: 10,2.0,2.0,2.0,5.0,0.2857142857142857,0.5,0.36363636363636365
Whole image Metrics for transfer: 11,3.0,3.0,4.0,1.0,0.75,0.42857142857142855,0.5454545454545454
Whole image Metrics for transfer: 12,2.0,3.0,4.0,2.0,0.5,0.42857142857142855,0.45454545454545453
Whole image Metrics for transfer: 13,6.0,0.0,5.0,0.0,1.0,0.0,0.5454545454545454
Whole image Metrics for transfer: 14,4.0,1.0,4.0,2.0,0.6666666666666666,0.2,0.45454545454545453
Whole image Metrics for transfer: 15,3.0,1.0,3.0,4.0,0.42857142857142855,0.25,0.36363636363636365
Whole image Metrics for transfer: 16,6.0,2.0,1.0,2.0,0.75,0.6666666666666666,0.7272727272727273
Whole image Metrics for transfer: 17,4.0,1.0,4.0,2.0,0.6666666666666666,0.2,0.45454545454545453
Whole image Metrics for transfer: 18,5.0,2.0,3.0,1.0,0.8333333333333334,0.4,0.6363636363636364
Whole image Metrics for transfer: 19,3.0,2.0,3.0,3.0,0.5,0.4,0.45454545454545453
Whole image Metrics for transfer: 20,2.0,3.0,5.0,1.0,0.6666666666666666,0.375,0.45454545454545453
Whole image Metrics for transfer: 21,8.0,1.0,0.0,2.0,0.8,1.0,0.8181818181818182
Whole image Metrics for transfer: 22,9.0,0.0,1.0,1.0,0.9,0.0,0.8181818181818182
Whole image Metrics for transfer: 23,7.0,1.0,0.0,3.0,0.7,1.0,0.7272727272727273
Whole image Metrics for transfer: 24,4.0,1.0,0.0,6.0,0.4,1.0,0.45454545454545453
